"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","1990","","","","2391150"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","1995","","","","3718846"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2000","","","","4689533.166565"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2015","","","","11330715.392"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2005","","","","7302723.959324"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2010","","","","9988931.249721"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2018","","","","13157223.529"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2005","","","","1101751.559957"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2010","","","","1694259.449595"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2000","","","","584300.844878"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2015","","","","1844363.398"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","1995","","","","485518"
