"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","818","EGY","Egypt","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","-","-","-","-","USM","Million US dollar","Coverage","2008 onwards: general trade system"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","MEX","Mexico","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","-","-","-","-","USM","Million US dollar","Coverage","Includes processing zones"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","348","HUN","Hungary","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","-","-","-","-","USM","Million US dollar","Coverage","Beginning 1996: includes trade from industrial free zones."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","484","MEX","Mexico","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","-","-","-","-","USM","Million US dollar","Coverage","Includes processing zones"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","818","EGY","Egypt","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","-","-","-","-","USM","Million US dollar","Coverage","2008 onwards: general trade system"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","276","DEU","Germany","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","-","-","-","-","USM","Million US dollar","Coverage","1980: Germany Fed Rep . 1990: sum of Germany Fed Rep and GDR"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","804","UKR","Ukraine","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","-","-","-","-","USM","Million US dollar","Coverage","Data provided by Ukraine do not include the Autonomous Republic of Crimea and the city of Sevastopol starting 2014."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","348","HUN","Hungary","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","-","-","-","-","USM","Million US dollar","Coverage","Beginning 1996: includes trade from industrial free zones."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","276","DEU","Germany","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","-","-","-","-","USM","Million US dollar","Coverage","1980: Germany Fed Rep . 1990: sum of Germany Fed Rep and GDR"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","320","GTM","Guatemala","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","-","-","-","-","USM","Million US dollar","Coverage","Prior to 02: processing zone trade is excluded"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","804","UKR","Ukraine","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","-","-","-","-","USM","Million US dollar","Coverage","Data provided by Ukraine do not include the Autonomous Republic of Crimea and the city of Sevastopol starting 2014."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","320","GTM","Guatemala","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","-","-","-","-","USM","Million US dollar","Coverage","Prior to 02: processing zone trade is excluded"
